Class,Images,Instances,Precision,Recall,mAP50,mAP50-95
Aortic enlargement,203,474,0.464,0.565,0.551,0.262
Atelectasis,13,23,1.0,0.0,0.132,0.0402
Calcification,31,58,1.0,0.0,0.000644,0.000129
Cardiomegaly,143,339,0.452,0.64,0.585,0.364
Consolidation,24,33,0.311,0.121,0.0771,0.0272
ILD,34,102,0.309,0.245,0.198,0.0814
Infiltration,38,67,0.466,0.149,0.153,0.0618
Lung Opacity,83,154,0.164,0.143,0.0908,0.0315
Nodule/Mass,54,145,0.0,0.0,0.00794,0.00314
Other lesion,66,138,0.506,0.0507,0.0423,0.0121
Pleural effusion,61,150,0.221,0.447,0.289,0.112
Pleural thickening,122,278,0.151,0.108,0.0549,0.0133
Pneumothorax,4,8,1.0,0.0,0.0047,0.00121
Pulmonary fibrosis,94,248,0.184,0.105,0.076,0.0267
ALL,1001,2217,0.445,0.184,0.162,0.0741
