epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4230.48,2.79632,4.44245,2.08257,0,0,0,0,3.21745,4.32177,2.13057,0.000332572,0.000332572,0.0670753
2,7287.84,2.64324,3.98664,1.90793,0.03409,0.01,0.01981,0.00689,2.89672,3.749,2.10948,0.000658703,0.000658703,0.0340681
3,10314.3,2.53859,3.81334,1.83654,0,0,0,0,2.88964,3.57022,2.01697,0.000956477,0.000956477,0.00103258
4,13322.3,2.46758,3.70515,1.79436,0.07143,0.00024,0.03583,0.02508,2.81396,3.42648,1.97189,0.000905463,0.000905463,0.000905463
5,16340.2,2.47609,3.63448,1.81792,0.07993,0.00382,0.04164,0.01436,2.70541,3.57044,1.86994,0.00083622,0.00083622,0.00083622
6,19338.8,2.45515,3.5242,1.81869,0.02679,0.00071,0.01375,0.00727,2.75309,3.62669,1.8923,0.0007525,0.0007525,0.0007525
7,22324.4,2.34386,3.47534,1.72681,0.05138,0.00976,0.03044,0.01693,2.64125,3.47549,1.84218,0.000657963,0.000657963,0.000657963
8,25566.1,2.34856,3.46827,1.72931,0,0,0,0,2.67218,3.25482,1.87135,0.000556742,0.000556742,0.000556742
9,28702.3,2.35287,3.36372,1.72708,0.08022,0.01263,0.04517,0.02109,2.67353,3.01792,1.85836,0.000453258,0.000453258,0.000453258
10,31709.7,2.29632,3.255,1.70289,0.07103,0.00882,0.03909,0.01982,2.57589,3.18422,1.79536,0.000352037,0.000352037,0.000352037
11,34707.4,2.20402,3.20136,1.65218,0.06483,0.01787,0.04034,0.02059,2.54096,2.98741,1.79775,0.0002575,0.0002575,0.0002575
12,37798.9,2.25959,3.11292,1.68452,0.06718,0.01001,0.03828,0.02166,2.55062,3.31797,1.78417,0.00017378,0.00017378,0.00017378
13,40807.2,2.29886,3.04822,1.71017,0.06393,0.01763,0.04002,0.02345,2.47423,3.1783,1.75314,0.000104537,0.000104537,0.000104537
14,43816.4,2.24732,2.96127,1.67204,0.0632,0.01644,0.03902,0.02184,2.51801,3.1489,1.77627,5.2795e-05,5.2795e-05,5.2795e-05
15,3234.99,2.23898,2.95762,1.68876,0.09556,0.02189,0.0589,0.0295,2.51209,2.91059,1.78094,2.08169e-05,2.08169e-05,2.08169e-05
