epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1511.86,2.72571,4.36846,2.0238,0,0,0,0,3.10671,3.85987,2.13168,0.000166286,0.000166286,0.0669091
2,3002.79,2.53558,3.77484,1.87746,0,0,0,0,2.72784,3.32421,1.93538,0.000329351,0.000329351,0.0337388
3,4510.55,2.48805,3.65694,1.82812,0,0,0,0,2.84602,3.42255,2.00541,0.000478238,0.000478238,0.000554342
4,5927.47,2.43742,3.53693,1.77464,0.05575,0.00762,0.03147,0.01548,2.7693,3.33576,1.89374,0.000452732,0.000452732,0.000452732
5,7296.61,2.40933,3.38991,1.77584,0.05639,0.00357,0.0299,0.01719,2.63029,3.42319,1.85644,0.00041811,0.00041811,0.00041811
6,8646.33,2.41566,3.34107,1.78508,0.06644,0.01191,0.03832,0.0174,2.72142,3.08513,1.89084,0.00037625,0.00037625,0.00037625
7,9952.86,2.26739,3.23731,1.68107,0.06508,0.01882,0.04202,0.02238,2.54422,2.88927,1.80887,0.000328982,0.000328982,0.000328982
8,11273.8,2.27915,3.16774,1.69682,0.09626,0.00144,0.00701,0.00208,2.50582,3.52619,1.75782,0.000278371,0.000278371,0.000278371
9,12638.3,2.25572,3.1015,1.67124,0.06775,0.01264,0.03914,0.02133,2.56641,2.97067,1.77514,0.000226629,0.000226629,0.000226629
10,14022.2,2.21983,2.9918,1.65478,0.08002,0.01482,0.04685,0.02399,2.45349,3.08176,1.74059,0.000176018,0.000176018,0.000176018
11,15477,2.14258,2.9119,1.60716,0.06772,0.01978,0.04351,0.02294,2.50566,2.75864,1.76991,0.00012875,0.00012875,0.00012875
12,16851,2.15616,2.8396,1.63083,0.13986,0.02823,0.04472,0.02022,2.48834,3.09787,1.75535,8.68902e-05,8.68902e-05,8.68902e-05
13,18261.3,2.1923,2.81338,1.66469,0.06895,0.02146,0.04468,0.02226,2.48998,2.96796,1.75612,5.22683e-05,5.22683e-05,5.22683e-05
14,19641.8,2.134,2.70292,1.61548,0.15205,0.02886,0.08752,0.03914,2.44885,3.01774,1.72455,2.63975e-05,2.63975e-05,2.63975e-05
15,21008.5,2.11167,2.67534,1.5898,0.07235,0.02242,0.04628,0.02508,2.44195,2.99195,1.722,1.04085e-05,1.04085e-05,1.04085e-05
