epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,835.85,1.50648,1.72143,1.41084,0.30346,0.28033,0.2344,0.11423,1.72767,1.97483,1.61138,0.000183251,0.000183251,0.000183251
2,1558.02,1.51201,1.73446,1.42714,0.25953,0.23188,0.2106,0.10337,1.74383,2.05582,1.62557,0.000350339,0.000350339,0.000350339
3,2268.89,1.54918,1.77248,1.4474,0.28217,0.27968,0.22017,0.10862,1.72478,1.99952,1.59245,0.00049908,0.00049908,0.00049908
4,2978.51,1.53872,1.7815,1.45374,0.29472,0.24324,0.21784,0.10717,1.76338,2.13563,1.63781,0.000473434,0.000473434,0.000473434
5,3681.42,1.53382,1.76545,1.43224,0.25765,0.27384,0.20389,0.09976,1.75793,2.03804,1.69696,0.000445912,0.000445912,0.000445912
6,4394.31,1.5321,1.75774,1.4411,0.33272,0.27468,0.23443,0.11271,1.73749,1.96695,1.61815,0.00041839,0.00041839,0.00041839
7,5047.66,1.52098,1.74055,1.43174,0.32339,0.25491,0.23374,0.11422,1.72981,1.9891,1.58254,0.000390868,0.000390868,0.000390868
8,5706.79,1.52395,1.71164,1.41886,0.30051,0.28457,0.23941,0.116,1.7211,1.96496,1.62132,0.000363346,0.000363346,0.000363346
9,6332.4,1.49972,1.70876,1.41432,0.29857,0.25736,0.22959,0.11352,1.71152,1.92224,1.61481,0.000335824,0.000335824,0.000335824
10,7037.03,1.48258,1.67621,1.39734,0.31785,0.27016,0.23596,0.11338,1.71215,1.93574,1.5892,0.000308302,0.000308302,0.000308302
11,7725.14,1.52384,1.70229,1.45857,0.32264,0.28382,0.24182,0.11989,1.68777,1.86232,1.58791,0.00028078,0.00028078,0.00028078
12,8448.84,1.50931,1.6397,1.4487,0.32872,0.28572,0.24882,0.12329,1.73683,1.96971,1.62704,0.000253258,0.000253258,0.000253258
13,9131.79,1.50201,1.63198,1.44978,0.31708,0.29349,0.24111,0.12086,1.71675,1.96536,1.61872,0.000225736,0.000225736,0.000225736
14,9822.72,1.48001,1.60541,1.43183,0.32836,0.26829,0.24626,0.12152,1.72667,1.9393,1.62014,0.000198214,0.000198214,0.000198214
15,10519.2,1.47236,1.57303,1.42323,0.32636,0.28852,0.25748,0.12824,1.70179,1.85577,1.57757,0.000170692,0.000170692,0.000170692
16,11201.5,1.45818,1.55363,1.40873,0.32296,0.27509,0.24642,0.12092,1.72682,1.93827,1.57766,0.00014317,0.00014317,0.00014317
17,11821.7,1.44258,1.54112,1.39365,0.3211,0.28056,0.25274,0.12613,1.7163,1.87104,1.58354,0.000115648,0.000115648,0.000115648
18,12438.2,1.44342,1.51318,1.39231,0.32863,0.27942,0.26368,0.13005,1.70274,1.85093,1.56759,8.8126e-05,8.8126e-05,8.8126e-05
19,13056.1,1.42112,1.50037,1.38791,0.35652,0.27954,0.25634,0.12871,1.70854,1.85469,1.59512,6.0604e-05,6.0604e-05,6.0604e-05
20,13804.7,1.4234,1.47922,1.38243,0.33325,0.29043,0.2609,0.13007,1.71208,1.8604,1.58583,3.3082e-05,3.3082e-05,3.3082e-05
