epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,403.196,2.60498,4.77994,1.89084,0.81022,0.03623,0.05633,0.02318,2.26409,3.15006,1.62121,0.000184595,0.000184595,0.000184595
2,834.884,2.13258,3.03108,1.55298,0.56307,0.09346,0.07938,0.03366,1.99906,2.39341,1.52304,0.000333305,0.000333305,0.000333305
3,1274.57,2.06448,2.7323,1.50047,0.74458,0.07813,0.08603,0.03763,2.02597,2.48251,1.49059,0.00044532,0.00044532,0.00044532
4,1749.22,2.09163,2.39187,1.55729,0.69755,0.13049,0.12266,0.05457,1.97167,2.04011,1.50346,0.000390868,0.000390868,0.000390868
5,2221.59,1.99719,2.31278,1.46742,0.5894,0.12701,0.11615,0.05168,1.93055,2.09036,1.44875,0.000335824,0.000335824,0.000335824
6,2713.33,1.94999,2.15415,1.44094,0.45465,0.12749,0.11457,0.05217,1.89909,2.11364,1.41025,0.00028078,0.00028078,0.00028078
7,3195.15,1.88048,2.08013,1.40247,0.53113,0.15369,0.13599,0.05689,1.94172,1.92567,1.44434,0.000225736,0.000225736,0.000225736
8,3649.03,1.86615,1.94766,1.39411,0.43848,0.16846,0.13811,0.06216,1.85935,1.84223,1.39369,0.000170692,0.000170692,0.000170692
9,4173.61,1.83773,1.93789,1.38373,0.40786,0.17486,0.15796,0.07266,1.8393,1.78268,1.36756,0.000115648,0.000115648,0.000115648
10,4600.7,1.81501,1.89404,1.35476,0.44611,0.18325,0.16158,0.07387,1.80582,1.74529,1.3655,6.0604e-05,6.0604e-05,6.0604e-05
