epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,473.401,2.5553,3.48632,1.69604,0.77255,0.05715,0.05652,0.02142,2.33693,2.82615,1.7227,0.000166003,0.000166003,0.0669655
2,905.502,2.20673,2.75649,1.47942,0.60582,0.10421,0.08981,0.03702,2.1045,2.4299,1.54056,0.000316202,0.000316202,0.0337823
3,1379.93,2.15653,2.59727,1.46804,0.58401,0.08648,0.08348,0.03539,2.16397,2.60797,1.54437,0.000449902,0.000449902,0.000582704
4,1897.29,2.09384,2.51798,1.44126,0.53999,0.09791,0.08973,0.04111,1.99938,2.18019,1.46411,0.00042575,0.00042575,0.00042575
5,2433.02,2.06674,2.40415,1.41389,0.64374,0.10253,0.10326,0.04494,1.98229,2.20434,1.45323,0.000401,0.000401,0.000401
6,2901.27,2.01034,2.329,1.37657,0.51881,0.14566,0.12188,0.05186,1.95619,2.00961,1.43459,0.00037625,0.00037625,0.00037625
7,3364.77,2.01979,2.34937,1.37273,0.5226,0.08339,0.1164,0.05076,1.98371,2.582,1.42891,0.0003515,0.0003515,0.0003515
8,4087.91,1.96417,2.21413,1.36039,0.44292,0.14103,0.12557,0.05462,1.94326,2.01439,1.40578,0.00032675,0.00032675,0.00032675
9,4495.81,1.94657,2.14789,1.33274,0.42918,0.15481,0.1392,0.06273,1.89681,1.92446,1.40374,0.000302,0.000302,0.000302
10,4919.1,1.94444,2.14175,1.34483,0.52716,0.16785,0.13222,0.05887,1.8487,1.97475,1.39082,0.00027725,0.00027725,0.00027725
11,5329.64,1.87501,2.12165,1.38272,0.45633,0.15117,0.14745,0.0649,1.93198,1.96348,1.45467,0.0002525,0.0002525,0.0002525
12,5747.07,1.87582,2.07931,1.37912,0.48248,0.15835,0.14607,0.06323,1.86901,1.83852,1.3937,0.00022775,0.00022775,0.00022775
13,6197.63,1.85075,2.04401,1.37017,0.45511,0.15587,0.14955,0.06664,1.83721,1.9076,1.36784,0.000203,0.000203,0.000203
14,6643.38,1.82689,1.92079,1.35642,0.44337,0.18671,0.15751,0.07092,1.83753,1.86971,1.36778,0.00017825,0.00017825,0.00017825
15,7098.47,1.80523,2.01362,1.35591,0.49508,0.17428,0.15001,0.06856,1.84991,1.87292,1.38238,0.0001535,0.0001535,0.0001535
16,7561.63,1.80305,1.88249,1.33007,0.36494,0.18803,0.16395,0.07207,1.80798,1.83733,1.349,0.00012875,0.00012875,0.00012875
17,7996.03,1.8049,1.96311,1.32402,0.43019,0.17034,0.15779,0.06988,1.84473,1.87115,1.36717,0.000104,0.000104,0.000104
18,8453.65,1.75823,1.78242,1.31145,0.39729,0.18444,0.17396,0.07857,1.81719,1.73301,1.34447,7.925e-05,7.925e-05,7.925e-05
19,8854.21,1.75958,1.87046,1.28847,0.38648,0.20668,0.16668,0.07663,1.78728,1.75775,1.34116,5.45e-05,5.45e-05,5.45e-05
20,9249.2,1.75255,1.8232,1.2954,0.38851,0.19604,0.17612,0.07895,1.8169,1.73932,1.34318,2.975e-05,2.975e-05,2.975e-05
