epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,475.253,2.4582,4.83277,2.14143,0.9155,0.01545,0.02604,0.01139,2.24375,4.39784,2.03182,0.00018348,0.00018348,0.00018348
2,907.249,2.08386,3.55006,1.77443,0.59359,0.07764,0.05758,0.02908,2.08037,3.4517,1.82208,0.000350557,0.000350557,0.000350557
3,1326.76,2.0471,3.2541,1.74827,0.78875,0.04719,0.06728,0.03121,2.14375,3.65648,1.88655,0.000499286,0.000499286,0.000499286
4,1742.72,1.95708,2.91196,1.70652,0.63204,0.06061,0.0978,0.04593,1.95869,3.28021,1.74101,0.000473434,0.000473434,0.000473434
5,2157.94,1.90129,2.86031,1.68216,0.56373,0.11381,0.1009,0.04706,1.96241,3.00004,1.88052,0.000445912,0.000445912,0.000445912
6,2576.54,1.887,2.76288,1.68466,0.49792,0.1428,0.12172,0.05636,1.88115,2.72646,1.71511,0.00041839,0.00041839,0.00041839
7,2996.7,1.85316,2.63941,1.62792,0.38468,0.19231,0.13272,0.06251,1.86464,2.73054,1.71858,0.000390868,0.000390868,0.000390868
8,3423.08,1.8402,2.57124,1.62687,0.26965,0.18718,0.13996,0.07133,1.85639,2.56457,1.69005,0.000363346,0.000363346,0.000363346
9,3841.84,1.77479,2.45267,1.56398,0.46056,0.15577,0.14399,0.06753,1.90391,2.59472,1.72268,0.000335824,0.000335824,0.000335824
10,4262.81,1.79424,2.42859,1.57696,0.3307,0.17862,0.13608,0.06535,1.8598,2.63342,1.67753,0.000308302,0.000308302,0.000308302
11,4677.55,1.74907,2.42316,1.64203,0.45874,0.18227,0.16228,0.07733,1.82336,2.42606,1.66128,0.00028078,0.00028078,0.00028078
12,5092.04,1.71873,2.3839,1.59495,0.40728,0.20636,0.16658,0.07797,1.7946,2.44227,1.68063,0.000253258,0.000253258,0.000253258
13,5510.59,1.71323,2.31746,1.59334,0.44174,0.20657,0.18071,0.08839,1.80712,2.29675,1.6302,0.000225736,0.000225736,0.000225736
14,5926.89,1.70289,2.24901,1.59261,0.38685,0.22232,0.18074,0.08615,1.78101,2.42881,1.65969,0.000198214,0.000198214,0.000198214
15,6340.89,1.6786,2.18803,1.56572,0.33069,0.20948,0.17706,0.08754,1.7768,2.30223,1.60101,0.000170692,0.000170692,0.000170692
16,6758.27,1.65115,2.14616,1.55053,0.39181,0.1956,0.18408,0.09183,1.77905,2.27381,1.6261,0.00014317,0.00014317,0.00014317
17,7177.72,1.63813,2.11884,1.5525,0.3089,0.20869,0.18627,0.09335,1.77088,2.26789,1.59165,0.000115648,0.000115648,0.000115648
18,7595.06,1.63932,2.06857,1.51788,0.40152,0.22442,0.20164,0.09917,1.76105,2.23056,1.60162,8.8126e-05,8.8126e-05,8.8126e-05
19,8008.19,1.62332,2.06291,1.52242,0.35704,0.22622,0.20642,0.10265,1.76034,2.22942,1.59018,6.0604e-05,6.0604e-05,6.0604e-05
20,8425.24,1.61667,2.04844,1.51821,0.46998,0.21797,0.20602,0.10169,1.77361,2.24712,1.608,3.3082e-05,3.3082e-05,3.3082e-05
