epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.9583,2.28963,6.49061,2.17307,0.00285,0.19577,0.01628,0.00596,2.62329,3.75784,2.57903,0.000174331,0.000174331,0.000174331
2,111.371,2.09395,4.32693,2.10072,0.67781,0.04096,0.02947,0.01182,2.42863,3.58678,2.48777,0.000332356,0.000332356,0.000332356
3,165.788,2.09014,3.87504,2.13183,0.68995,0.02851,0.03208,0.0144,2.43931,4.01338,2.43105,0.000473023,0.000473023,0.000473023
4,220.088,2.05963,3.72766,2.14902,0.00921,0.09611,0.01556,0.00686,2.76923,4.59317,2.5664,0.000447889,0.000447889,0.000447889
5,274.127,2.02912,3.63681,2.12814,0.61578,0.05704,0.05629,0.02525,2.25508,3.32704,2.32841,0.000421852,0.000421852,0.000421852
6,328.544,1.98946,3.75159,2.05814,0.49653,0.06619,0.06288,0.02674,2.09205,2.97932,2.19676,0.000395815,0.000395815,0.000395815
7,383.02,1.94835,3.47598,1.98978,0.71347,0.04943,0.05708,0.02278,2.28298,3.36564,2.34083,0.000369778,0.000369778,0.000369778
8,437.089,1.86831,3.72183,1.97568,0.43173,0.0837,0.07335,0.03223,2.11216,2.79981,2.24883,0.000343741,0.000343741,0.000343741
9,491.511,1.87838,3.17044,1.96517,0.31108,0.12745,0.09298,0.04194,2.03877,2.75362,2.17656,0.000317704,0.000317704,0.000317704
10,545.617,1.78811,3.16931,1.88917,0.72843,0.08019,0.08926,0.03997,2.13858,3.01376,2.20949,0.000291667,0.000291667,0.000291667
11,600.215,1.75362,3.37558,1.9131,0.43985,0.07801,0.0722,0.03271,2.12682,2.97019,2.16404,0.00026563,0.00026563,0.00026563
12,654.14,1.76325,3.3287,1.97007,0.40048,0.07932,0.09219,0.03827,2.11958,2.85957,2.22341,0.000239593,0.000239593,0.000239593
13,707.999,1.67684,3.11627,1.85084,0.41223,0.12231,0.11578,0.05116,2.04393,2.66293,2.11402,0.000213556,0.000213556,0.000213556
14,762.037,1.66768,2.76444,1.84728,0.43248,0.13653,0.11467,0.04925,2.07316,2.49981,2.15644,0.000187519,0.000187519,0.000187519
15,815.772,1.63506,2.77886,1.82206,0.42178,0.09995,0.12593,0.05784,2.01656,2.73397,2.07667,0.000161482,0.000161482,0.000161482
16,869.848,1.64287,2.7079,1.90575,0.4545,0.13756,0.15086,0.06865,1.97728,2.46077,2.06678,0.000135445,0.000135445,0.000135445
17,923.687,1.55514,2.83381,1.7841,0.53801,0.1246,0.14309,0.06212,2.00908,2.45709,2.1184,0.000109408,0.000109408,0.000109408
18,977.307,1.54082,2.59752,1.78776,0.34052,0.13792,0.14375,0.06323,1.97715,2.58512,2.06292,8.3371e-05,8.3371e-05,8.3371e-05
19,1030.87,1.56684,2.46447,1.80609,0.54469,0.12654,0.15064,0.06355,2.07858,2.57584,2.14642,5.7334e-05,5.7334e-05,5.7334e-05
20,1084.46,1.47997,2.42744,1.73188,0.29407,0.17664,0.16655,0.06864,1.98709,2.37682,2.06169,3.1297e-05,3.1297e-05,3.1297e-05
