epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,578.093,2.02876,4.05095,1.6764,0.48376,0.05998,0.10848,0.04656,1.64794,4.37199,1.42234,0.000666333,0.000666333,0.000666333
2,1128.98,1.9421,3.26333,1.59803,0.35076,0.10548,0.12096,0.05743,1.55919,3.68624,1.34658,0.00130001,0.00130001,0.00130001
3,1548.98,1.88542,2.94829,1.56287,0.56154,0.0914,0.15307,0.07021,1.60384,3.14767,1.4616,0.00190068,0.00190068,0.00190068
4,1981.76,1.8514,2.83163,1.55244,0.34888,0.19027,0.17652,0.08708,1.50767,2.83678,1.34888,0.0018515,0.0018515,0.0018515
5,2412.03,1.84508,2.75774,1.53424,0.45647,0.07095,0.1317,0.05725,1.49405,2.43899,1.28887,0.001802,0.001802,0.001802
6,2844.88,1.81469,2.6673,1.51448,0.38905,0.19278,0.19378,0.09808,1.49456,2.56543,1.31573,0.0017525,0.0017525,0.0017525
7,3292.39,1.77525,2.61752,1.49586,0.62036,0.14809,0.22648,0.11076,1.48356,2.29006,1.33941,0.001703,0.001703,0.001703
8,3736.78,1.7213,2.48321,1.45382,0.38489,0.24398,0.2291,0.1141,1.4434,2.55873,1.2925,0.0016535,0.0016535,0.0016535
9,4165.17,1.72029,2.41633,1.44895,0.47108,0.21301,0.23673,0.11678,1.46051,2.1367,1.27779,0.001604,0.001604,0.001604
10,4598.93,1.71306,2.38884,1.44207,0.57496,0.16743,0.24013,0.11719,1.46506,2.15129,1.30217,0.0015545,0.0015545,0.0015545
11,5030.33,1.6912,2.3032,1.44319,0.47206,0.23835,0.25953,0.12975,1.41011,2.04489,1.27296,0.001505,0.001505,0.001505
12,5464.28,1.7165,2.29366,1.43046,0.45022,0.234,0.24586,0.11922,1.42231,2.11316,1.29341,0.0014555,0.0014555,0.0014555
13,5881.43,1.66453,2.37524,1.41193,0.42726,0.2532,0.25207,0.12829,1.39123,2.70718,1.23385,0.001406,0.001406,0.001406
14,6307.2,1.6716,2.24763,1.4167,0.48179,0.22888,0.25892,0.13128,1.41849,2.1494,1.26989,0.0013565,0.0013565,0.0013565
15,6745.81,1.64492,2.17672,1.38785,0.46328,0.21838,0.25303,0.12852,1.41782,2.27496,1.25174,0.001307,0.001307,0.001307
16,7225.44,1.64948,2.19261,1.38783,0.49381,0.21787,0.25841,0.13005,1.41491,1.99927,1.2369,0.0012575,0.0012575,0.0012575
17,7735.26,1.62458,2.13471,1.38159,0.41118,0.24526,0.24233,0.11799,1.39004,2.15345,1.2467,0.001208,0.001208,0.001208
18,8160.3,1.59625,2.0971,1.35562,0.4596,0.24731,0.26648,0.1355,1.3661,2.08448,1.24073,0.0011585,0.0011585,0.0011585
