epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1585.35,2.64829,4.35591,2.12347,0,0,0,0,3.08614,4.43961,2.29997,0.000332572,0.000332572,0.0670753
2,3064.43,2.49319,3.89528,2.01089,0,0,0,0,2.83684,4.04209,2.3212,0.0006641,0.0006641,0.0340735
3,4555.21,2.51039,3.83721,1.98312,0,0,0,0,2.79912,3.87897,2.13601,0.00098843,0.00098843,0.00106453
4,6027.5,2.44921,3.69113,1.94966,0,0,0,0,2.70721,3.6426,2.13062,0.000975773,0.000975773,0.000975773
5,7514.37,2.40159,3.67583,1.93455,0,0,0,0,2.68623,3.47703,2.14122,0.000957205,0.000957205,0.000957205
6,8989.46,2.42088,3.43989,1.96834,0.03767,0.02115,0.02618,0.01185,2.72591,3.47567,2.16398,0.000933683,0.000933683,0.000933683
7,10457.9,2.32863,3.52416,1.87471,0.0522,0.00522,0.02832,0.01287,2.74404,3.67791,2.19241,0.000905463,0.000905463,0.000905463
8,11929,2.37312,3.33689,1.91534,0,0,0,0,2.71391,3.98615,2.16472,0.000872857,0.000872857,0.000872857
9,13400.4,2.33309,3.35824,1.87784,0.05357,0.01614,0.03407,0.01403,2.68764,3.21418,2.1842,0.00083622,0.00083622,0.00083622
10,14851.2,2.32105,3.30245,1.89273,0.06347,0.01174,0.03729,0.01707,2.66883,3.31762,2.09642,0.000795954,0.000795954,0.000795954
11,16394.7,2.30034,3.21838,1.8766,0.06373,0.02142,0.042,0.02409,2.62343,3.10168,2.10333,0.0007525,0.0007525,0.0007525
12,17970.3,2.31041,3.27207,1.87813,0.06059,0.01483,0.03671,0.01669,2.55405,3.1439,2.05147,0.000706335,0.000706335,0.000706335
13,19433.5,2.24035,3.09013,1.81836,0.07218,0.02029,0.04485,0.02329,2.49866,3.02705,2.01692,0.000657963,0.000657963,0.000657963
14,20909.6,2.26321,3.10902,1.82255,0.1449,0.02297,0.08273,0.02796,2.54213,3.1467,2.03415,0.000607916,0.000607916,0.000607916
15,22360.7,2.24092,3.07253,1.81489,0.09457,0.02221,0.05744,0.02693,2.60988,3.02575,2.05777,0.000556742,0.000556742,0.000556742
16,23851.4,2.19476,2.9811,1.78748,0.12951,0.01997,0.07463,0.02301,2.55779,2.97082,2.0451,0.000505,0.000505,0.000505
17,25568.7,2.19516,3.14334,1.78693,0.06517,0.00055,0.01817,0.00363,2.54937,3.1834,2.03146,0.000453258,0.000453258,0.000453258
18,1569.78,2.24357,2.98199,1.8432,0.08992,0.02096,0.05652,0.0275,2.44617,2.69866,1.95304,0.000402084,0.000402084,0.000402084
19,3012.39,2.22099,2.98454,1.81969,0.06795,0.0214,0.0451,0.02408,2.41884,2.65729,1.91206,0.000352037,0.000352037,0.000352037
20,4463.4,2.1857,2.85015,1.78458,0.08748,0.02049,0.05463,0.02565,2.45769,2.70164,1.96284,0.000303665,0.000303665,0.000303665
21,5902.42,2.16324,2.89058,1.76488,0.05904,0.01929,0.03941,0.02148,2.43638,2.75047,1.93858,0.0002575,0.0002575,0.0002575
22,7341.53,2.17429,2.82667,1.77068,0.11294,0.02532,0.07118,0.03524,2.41317,2.55229,1.91621,0.000214046,0.000214046,0.000214046
23,8782.99,2.20227,2.77028,1.79809,0.2135,0.02052,0.11788,0.0578,2.44139,2.65156,1.93932,0.00017378,0.00017378,0.00017378
24,10234,2.08737,2.71801,1.7161,0.08333,0.02049,0.05192,0.02537,2.39148,2.55725,1.90274,0.000137143,0.000137143,0.000137143
25,11680.5,2.10703,2.68121,1.72885,0.08524,0.01781,0.05244,0.02574,2.3721,2.73259,1.87575,0.000104537,0.000104537,0.000104537
26,13381.1,2.10801,2.67444,1.72039,0.19085,0.02769,0.10907,0.05989,2.37534,2.5311,1.8958,7.63174e-05,7.63174e-05,7.63174e-05
27,14837.9,2.09933,2.61659,1.72201,0.16565,0.02514,0.09642,0.05243,2.37039,2.6011,1.88694,5.2795e-05,5.2795e-05,5.2795e-05
28,16279.5,2.01806,2.55246,1.66569,0.15375,0.02606,0.09117,0.04482,2.36423,2.57621,1.87857,3.4227e-05,3.4227e-05,3.4227e-05
29,17746.2,2.07611,2.60665,1.71589,0.15625,0.02471,0.09152,0.04807,2.36844,2.59693,1.88328,2.08169e-05,2.08169e-05,2.08169e-05
30,19231.9,2.11879,2.64459,1.74564,0.1543,0.02568,0.09107,0.04527,2.36077,2.56704,1.8786,1.27117e-05,1.27117e-05,1.27117e-05
