epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1529.66,2.15128,2.80357,1.7631,0.09435,0.01526,0.05493,0.02727,2.4733,2.87571,1.90841,3.32572e-05,3.32572e-05,0.066776
2,2979.7,2.16673,2.77985,1.77291,0.15242,0.02376,0.08951,0.0452,2.39426,2.54188,1.90688,6.49773e-05,6.49773e-05,0.0334744
3,4418.99,2.10248,2.69347,1.74077,0.18813,0.02014,0.10476,0.06935,2.35737,2.61027,1.87125,9.04774e-05,9.04774e-05,0.000166581
4,5873.97,2.05146,2.63918,1.68358,0.10322,0.02273,0.06382,0.03336,2.37633,2.63582,1.89411,7.95954e-05,7.95954e-05,7.95954e-05
5,7327.34,2.06145,2.54901,1.69688,0.17183,0.02437,0.09916,0.051,2.36439,2.58885,1.87684,6.57963e-05,6.57963e-05,6.57963e-05
6,8788.87,2.09545,2.58276,1.73121,0.14384,0.02114,0.08256,0.05223,2.35089,2.6666,1.86529,5.05e-05,5.05e-05,5.05e-05
7,10230.7,2.00762,2.50893,1.65589,0.18186,0.02085,0.10135,0.05643,2.35456,2.67842,1.86861,3.52037e-05,3.52037e-05,3.52037e-05
8,11672.9,2.03557,2.50262,1.68372,0.1886,0.02244,0.10558,0.05867,2.34851,2.59015,1.86143,2.14046e-05,2.14046e-05,2.14046e-05
9,13119.3,2.04879,2.52069,1.68074,0.20232,0.02533,0.11372,0.06046,2.34393,2.59837,1.85977,1.04537e-05,1.04537e-05,1.04537e-05
10,14568.6,2.05838,2.54322,1.6928,0.1978,0.02468,0.11089,0.05771,2.34693,2.61158,1.8614,3.4227e-06,3.4227e-06,3.4227e-06
